Province,Stakeholder,District,Product,Reporting Rate,Consumption,AMC,SOH Dist,Rrate,Total HF,SOF lvl,SOH Field
AJK,GS,Bagh,Condom,01-01-17,84,195,0,50,2,0,0
AJK,GS,Bagh,Condom,01-03-17,306,245,0,50,2,0,0
AJK,GS,Bagh,Condom,01-04-17,384,258,0,50,2,0,0
AJK,GS,Bagh,Condom,01-05-17,48,246,0,50,2,0,0
AJK,GS,Bagh,Condom,01-06-17,48,160,0,50,2,0,0
AJK,GS,Bhimber,1-Month Inj,01-01-17,1,1.67,0,50,2,0,0
AJK,GS,Bhimber,1-Month Inj,01-02-17,4,2.33,0,50,2,0,0
AJK,GS,Bhimber,1-Month Inj,01-03-17,14,6.33,0,50,2,0,0
AJK,GS,Bhimber,1-Month Inj,01-04-17,0,6.33,0,50,2,0,0
AJK,GS,Bhimber,1-Month Inj,01-05-17,28,15.33,0,50,2,0,0
AJK,GS,Bhimber,1-Month Inj,01-06-17,11,17.67,0,50,2,0,0
AJK,GS,Bhimber,2-Month Inj,01-01-17,-13,23.33,0,50,2,0,0
AJK,GS,Bhimber,2-Month Inj,01-02-17,2,15.67,0,50,2,0,0
AJK,GS,Bhimber,2-Month Inj,01-03-17,27,20,0,50,2,0,0
AJK,GS,Bhimber,2-Month Inj,01-04-17,0,20,0,50,2,0,0
AJK,GS,Bhimber,2-Month Inj,01-05-17,60,29.67,0,50,2,0,0
AJK,GS,Bhimber,2-Month Inj,01-06-17,83,56.67,0,50,2,0,0
AJK,GS,Bhimber,3-Month Inj,01-01-17,49,59.67,0,50,2,0,0
AJK,GS,Bhimber,3-Month Inj,01-02-17,24,55,0,50,2,0,0
AJK,GS,Bhimber,3-Month Inj,01-03-17,67,46.67,0,50,2,0,0
AJK,GS,Bhimber,3-Month Inj,01-04-17,128,73,0,50,2,0,0
AJK,GS,Bhimber,3-Month Inj,01-05-17,234,143,0,50,2,0,0
AJK,GS,Bhimber,3-Month Inj,01-06-17,215,192.33,0,50,2,0,0
AJK,GS,Bhimber,COC,01-01-17,36,36,0,50,2,0,0
AJK,GS,Bhimber,COC,01-04-17,51,41,0,50,2,0,0
AJK,GS,Bhimber,COC,01-05-17,30,39,0,50,2,0,0
AJK,GS,Bhimber,COC,01-06-17,0,39,0,50,2,0,0
AJK,GS,Bhimber,Condom,01-01-17,717,686,0,50,2,0,0
AJK,GS,Bhimber,Condom,01-02-17,240,612,0,50,2,0,0
AJK,GS,Bhimber,Condom,01-03-17,186,381,0,50,2,0,0
AJK,GS,Bhimber,Condom,01-04-17,1887,771,0,50,2,0,0
AJK,GS,Bhimber,Condom,01-05-17,-771,771,0,50,2,0,0
AJK,GS,Bhimber,Condom,01-06-17,60,711,0,50,2,0,0
AJK,GS,Bhimber,ECP,01-01-17,128,79.67,0,50,2,0,0
AJK,GS,Bhimber,ECP,01-02-17,40,68,0,50,2,0,0
AJK,GS,Bhimber,ECP,01-03-17,47,71.67,0,50,2,0,0
AJK,GS,Bhimber,ECP,01-04-17,64,50.33,0,50,2,0,0
AJK,GS,Bhimber,ECP,01-05-17,110,73.67,0,50,2,0,0
AJK,GS,Bhimber,ECP,01-06-17,0,73.67,0,50,2,0,0
AJK,GS,Bhimber,Multiload,01-04-17,0,15,0,50,2,0,0
AJK,GS,Bhimber,Multiload,01-05-17,0,15,0,50,2,0,0
AJK,GS,Bhimber,Multiload,01-06-17,0,15,0,50,2,0,0
AJK,GS,Bhimber,Safe Load,01-04-17,0,10,0,50,2,0,0
AJK,GS,Bhimber,Safe Load,01-05-17,0,10,0,50,2,0,0
AJK,GS,Bhimber,Safe Load,01-06-17,0,10,0,50,2,0,0
